,name,age,height,country,position,foot,team,joined,contract expires,goals,assists,appearances,minutes played,market value
44,Mauro Icardi,27,"1,81 m","  Argentina
  Italy",Forward - Centre-Forward,right,Paris Saint-Germain,"Sep 2, 2019",30.06.2020,20,4,31,2.224,€70.00m
45,Cristiano Ronaldo,35,"1,87 m",  Portugal,Forward - Left Winger,both,Juventus FC,"Jul 10, 2018",30.06.2022,25,4,32,1.362,€70.00m
46,Gabriel Jesus,23,"1,75 m",  Brazil,Forward - Centre-Forward,right,Manchester City,"Jan 1, 2017",30.06.2023,18,9,39,492,€70.00m
47,Arthur,23,"1,72 m",  Brazil,Midfielder - Central Midfield,right,FC Barcelona,"Jul 9, 2018",30.06.2024,4,4,23,821,€70.00m
48,Ousmane Dembélé,22,"1,78 m",  France,Forward - Right Winger,both,FC Barcelona,"Aug 25, 2017",30.06.2022,1,-,9,1.297,€70.00m
49,Lucas Hernández,24,"1,82 m","  France
  Spain",Defender - Centre-Back,left,Bayern Munich,"Jul 1, 2019",30.06.2024,-,-,14,2.904,€85.00m
50,José Giménez,25,"1,85 m","  Uruguay
  Spain",Defender - Centre-Back,right,Atlético Madrid,"Jul 1, 2013",30.06.2023,-,1,16,3.642,€70.00m
51,Ederson,26,"1,88 m","  Brazil
  Portugal",Goalkeeper,left,Manchester City,"Jul 1, 2017",30.06.2025,27,13,31,1.757,€70.00m
52,Romelu Lukaku,26,"1,91 m","  Belgium
  DR Congo",Forward - Centre-Forward,left,Inter Milan,"Aug 8, 2019",30.06.2024,23,5,35,2.036,€70.00m
53,Harry Maguire,27,"1,94 m",  England,Defender - Centre-Back,right,Manchester United,"Aug 5, 2019",30.06.2025,2,2,41,2.711,€70.00m
54,Kalidou Koulibaly,28,"1,87 m","  Senegal
  France",Defender - Centre-Back,right,SSC Napoli,"Jul 1, 2014",30.06.2023,-,-,21,2.873,€70.00m
55,Philippe Coutinho,27,"1,72 m","  Brazil
  Portugal",Midfielder - Attacking Midfield,right,Bayern Munich,"Aug 19, 2019",30.06.2020,9,8,32,1.383,€65.00m
56,Pierre-Emerick Aubameyang,30,"1,87 m","  Gabon
  France",Forward - Centre-Forward,right,Arsenal FC,"Jan 31, 2018",30.06.2021,20,1,32,2.779,€65.00m
57,Robert Lewandowski,31,"1,84 m",  Poland,Forward - Centre-Forward,right,Bayern Munich,"Jul 1, 2014",30.06.2023,39,5,33,2.044,€65.00m
58,Tanguy Ndombélé,23,"1,81 m","  France
  DR Congo",Midfielder - Central Midfield,right,"Jul 2, 2019",30.06.2025,adidas,2,4,27,2.569,€65.00m
59,Richarlison,22,"1,79 m",  Brazil,Forward - Left Winger,right,Everton FC,"Jul 24, 2018",30.06.2024,12,4,32,2.965,€65.00m
60,Nicolas Pépé,24,"1,83 m","  Cote d'Ivoire
  France",Forward - Right Winger,left,"Aug 1, 2019",30.06.2024,Nike,6,8,32,2.443,€65.00m
61,Marquinhos,25,"1,83 m","  Brazil
  Portugal",Defender - Centre-Back,right,Paris Saint-Germain,"Jul 19, 2013",30.06.2024,4,1,32,2.606,€65.00m
62,Jorginho,28,"1,80 m","  Italy
  Brazil",Midfielder - Defensive Midfield,right,Chelsea FC,"Jul 14, 2018",30.06.2023,7,2,37,2.037,€65.00m
63,David Alaba,27,"1,80 m",  Austria,Defender - Centre-Back,left,Bayern Munich,"Jul 1, 2010",30.06.2021,1,2,28,2.900,€60.00m
64,Miralem Pjanic,30,"1,80 m","  Bosnia-Herzegovina
  Luxembourg",Midfielder - Central Midfield,right,Juventus FC,"Jul 1, 2016",30.06.2023,3,4,32,2.068,€60.00m
65,Sergio Agüero,31,"1,73 m","  Argentina
  Spain",Forward - Centre-Forward,right,Manchester City,"Jul 28, 2011",30.06.2021,23,3,30,2.681,€60.00m
66,Achraf Hakimi,21,"1,81 m","  Morocco
  Spain",Defender - Right-Back,right,Borussia Dortmund,"Jul 11, 2018",30.06.2020,7,10,37,2.698,€60.00m
67,Federico Valverde,21,"1,82 m","  Uruguay
  Spain",Midfielder - Central Midfield,right,Real Madrid,"Jul 1, 2018",30.06.2025,2,4,32,2.729,€60.00m
68,Mikel Oyarzabal,22,"1,81 m",  Spain,Forward - Left Winger,left,"Jan 1, 2016",30.06.2024,"Aug 14, 2018",10,7,33,2.117,€60.00m
69,Fabián Ruiz,24,"1,89 m",  Spain,Midfielder - Central Midfield,left,SSC Napoli,"Jul 5, 2018",30.06.2023,3,2,32,1.576,€60.00m
70,Davinson Sánchez,23,"1,87 m",  Colombia,Defender - Centre-Back,right,Tottenham Hotspur,"Aug 23, 2017",30.06.2024,-,-,32,2.867,€60.00m
71,Federico Chiesa,22,"1,80 m",  Italy,Forward - Right Winger,right,ACF Fiorentina,"Jul 1, 2016",30.06.2022,7,5,26,3.141,€60.00m
72,Christian Pulisic,21,"1,72 m","  United States
  Croatia",Forward - Right Winger,right,Chelsea FC,"Jan 2, 2019",30.06.2024,6,6,23,2.762,€60.00m
73,James Maddison,23,"1,75 m",  England,Midfielder - Attacking Midfield,right,Leicester City,"Jul 1, 2018",30.06.2023,9,3,35,2.501,€60.00m
74,Bruno Fernandes,25,"1,83 m",  Portugal,Midfielder - Attacking Midfield,right,Manchester United,"Jan 29, 2020",30.06.2025,18,18,37,2.526,€60.00m
75,Milan Skriniar,25,"1,88 m",  Slovakia,Defender - Centre-Back,right,Inter Milan,"Jul 7, 2017",30.06.2023,-,1,32,2.430,€60.00m
76,Clément Lenglet,24,"1,86 m",  France,Defender - Centre-Back,left,FC Barcelona,"Jul 12, 2018",30.06.2023,3,1,29,1.001,€60.00m
77,Anthony Martial,24,"1,83 m","  France
  Guadeloupe",Forward - Centre-Forward,right,Manchester United,"Sep 1, 2015",30.06.2024,16,5,34,2.715,€60.00m
78,Riyad Mahrez,29,"1,79 m","  Algeria
  France",Forward - Right Winger,left,Manchester City,"Jul 10, 2018",30.06.2023,9,14,37,2.328,€60.00m
79,Niklas Süle,24,"1,95 m",  Germany,Defender - Centre-Back,right,Bayern Munich,"Jul 1, 2017",30.06.2022,-,1,12,2.634,€60.00m
80,Marcelo Brozovic,27,"1,81 m",  Croatia,Midfielder - Defensive Midfield,both,Inter Milan,"Jul 1, 2016",30.06.2022,3,5,32,2.779,€65.00m
81,Lorenzo Insigne,28,"1,63 m",  Italy,Forward - Left Winger,right,SSC Napoli,"Jan 1, 2010",30.06.2022,9,6,31,2.605,€60.00m
82,Stefan de Vrij,28,"1,89 m",  Netherlands,Defender - Centre-Back,right,Inter Milan,"Jul 1, 2018",30.06.2023,2,4,30,2.508,€60.00m
83,Thibaut Courtois,27,"1,99 m",  Belgium,Goalkeeper,left,Real Madrid,"Aug 9, 2018",30.06.2024,26,15,32,2.702,€60.00m
84,Richarlison,22,"1,79 m",  Brazil,Forward - Left Winger,right,Everton FC,"Jul 24, 2018",30.06.2024,12,4,32,2.865,€55.00m
85,Koke,28,"1,76 m",  Spain,Midfielder - Central Midfield,right,Atlético Madrid,"Jan 1, 2011",30.06.2024,3,5,31,2.700,€55.00m
86,Thiago,28,"1,74 m","  Spain
  Brazil",Midfielder - Central Midfield,right,Bayern Munich,"Jul 14, 2013",30.06.2021,3,2,32,3.171,€55.00m
87,Toni Kroos,30,"1,83 m",  Germany,Midfielder - Central Midfield,right,Real Madrid,"Jul 17, 2014",30.06.2023,5,9,33,2.623,€55.00m
88,Houssem Aouar,21,"1,75 m","  France
  Algeria",Midfielder - Central Midfield,right,Olympique Lyon,"Jul 4, 2016",30.06.2023,9,7,37,1.415,€55.00m
89,Declan Rice,21,"1,85 m","  England
  Ireland",Midfielder - Defensive Midfield,right,"Jul 1, 2017",30.06.2024,club option 1 year,-,2,30,2.572,€55.00m
90,Gianluigi Donnarumma,21,"1,96 m",  Italy,Goalkeeper,right,AC Milan,"Jul 1, 2015",30.06.2021,33,10,26,2.426,€55.00m
91,Donny van de Beek,22,"1,84 m",  Netherlands,Midfielder - Attacking Midfield,right,Ajax Amsterdam,"Feb 1, 2016",30.06.2022,10,11,37,2.500,€50.00m
92,Youri Tielemans,22,"1,76 m","  Belgium
  DR Congo",Midfielder - Central Midfield,right,Leicester City,"Jul 8, 2019",30.06.2023,5,7,34,1.278,€50.00m
93,Memphis Depay,26,"1,76 m","  Netherlands
  Ghana",Forward - Left Winger,right,Olympique Lyon,"Jan 20, 2017",30.06.2021,14,2,18,2.622,€50.00m
94,Wilfried Zaha,27,"1,80 m","  Cote d'Ivoire
  England",Forward - Right Winger,right,Crystal Palace,"Feb 2, 2015",30.06.2023,3,5,30,1.741,€50.00m
95,Luis Alberto,27,"1,83 m",  Spain,Midfielder - Attacking Midfield,right,SS Lazio,"Aug 31, 2016",30.06.2022,5,14,30,2.164,€50.00m
96,Alphonso Davies,19,"1,81 m","  Canada
  Liberia",Defender - Left-Back,left,"Jan 1, 2019",30.06.2023,,1,8,32,1.363,€50.00m
97,Rodrygo,19,"1,74 m",  Brazil,Forward - Right Winger,right,Real Madrid,"Jul 1, 2019",30.06.2025,9,2,21,1.949,€50.00m
98,Ferran Torres,20,"1,84 m",  Spain,Forward - Right Winger,right,Valencia CF,"Jan 1, 2018",30.06.2021,6,7,35,1.534,€50.00m
99,Nicolò Zaniolo,20,"1,90 m",  Italy,Midfielder - Attacking Midfield,left,AS Roma,"Jul 1, 2018",30.06.2024,6,2,24,2.495,€50.00m
100,Carlos Soler,23,"1,80 m",  Spain,Midfielder - Right Midfield,right,Valencia CF,"Jan 1, 2017",30.06.2023,3,-,27,2.490,€50.00m
101,Vinícius Júnior,19,"1,76 m",  Brazil,Forward - Left Winger,right,Real Madrid,"Jul 12, 2018",30.06.2025,4,3,28,2.415,€50.00m
102,Rodrigo Bentancur,22,"1,87 m",  Uruguay,Midfielder - Central Midfield,right,Juventus FC,"Jul 1, 2017",30.06.2024,1,7,29,2.510,€50.00m
103,Giovani Lo Celso,23,"1,77 m","  Argentina
  Italy",Midfielder - Central Midfield,left,"Aug 8, 2019",30.06.2025,Real Betis Balompié,2,1,28,2.784,€50.00m
104,Dayot Upamecano,21,"1,86 m","  France
  Guinea-Bissau",Defender - Centre-Back,right,RB Leipzig,"Jan 13, 2017",30.06.2021,-,1,29,1.679,€50.00m
105,Tammy Abraham,22,"1,91 m","  England
  Nigeria",Forward - Centre-Forward,right,"Jul 1, 2017",30.06.2022,Nike,15,6,34,2.859,€50.00m
106,Martin Ödegaard,21,"1,78 m",  Norway,Midfielder - Attacking Midfield,left,Real Sociedad,"Jul 5, 2019",30.06.2020,7,8,28,3.309,€50.00m
107,Ben Chilwell,23,"1,78 m",  England,Defender - Left-Back,left,Leicester City,"Jul 1, 2015",30.06.2024,2,4,28,3.292,€50.00m
108,Iñaki Williams,25,"1,86 m","  Spain
  Ghana",Forward - Centre-Forward,right,Athletic Bilbao,"Jul 1, 2015",30.06.2028,10,3,34,2.354,€50.00m
109,Kingsley Coman,23,"1,79 m","  France
  Guadeloupe",Forward - Left Winger,right,Bayern Munich,"Jul 1, 2017",30.06.2023,5,5,24,2.686,€50.00m
110,Thomas,26,"1,85 m",  Ghana,Midfielder - Defensive Midfield,right,Atlético Madrid,"Jul 1, 2015",30.06.2023,3,1,35,3.526,€50.00m
111,Moussa Dembélé,23,"1,83 m","  France
  Mali",Forward - Centre-Forward,right,Olympique Lyon,"Aug 31, 2018",30.06.2023,22,7,42,2.168,€50.00m
112,Rúben Neves,23,"1,80 m",  Portugal,Midfielder - Defensive Midfield,right,Wolverhampton Wanderers,"Jul 8, 2017",30.06.2023,4,2,43,1.187,€50.00m
113,José Gayà,24,"1,72 m",  Spain,Defender - Left-Back,left,Valencia CF,"Jul 1, 2014",30.06.2023,-,1,28,2.455,€50.00m
114,Hakim Ziyech,27,"1,81 m","  Morocco
  Netherlands",Forward - Right Winger,left,Ajax Amsterdam,"Aug 30, 2016",30.06.2022,8,21,35,2.910,€50.00m
115,Raúl Jiménez,28,"1,88 m",  Mexico,Forward - Centre-Forward,right,Wolverhampton Wanderers,"Jul 1, 2019",30.06.2023,22,10,44,1.992,€50.00m
116,Julian Brandt,23,"1,85 m",  Germany,Midfielder - Central Midfield,right,Borussia Dortmund,"Jul 1, 2019",30.06.2024,7,8,33,2.695,€50.00m
117,Leon Goretzka,25,"1,89 m",  Germany,Midfielder - Central Midfield,right,Bayern Munich,"Jul 1, 2018",30.06.2022,5,6,23,2.497,€50.00m
118,Wissam Ben Yedder,29,"1,70 m","  France
  Tunisia",Forward - Centre-Forward,right,AS Monaco,"Aug 14, 2019",30.06.2024,19,9,31,1.575,€50.00m
119,Daniel Carvajal,28,"1,73 m",  Spain,Defender - Right-Back,right,Real Madrid,"Jul 1, 2013",30.06.2022,1,7,32,2.284,€50.00m
120,Rodrigo,29,"1,82 m","  Spain
  Brazil",Forward - Centre-Forward,left,Valencia CF,"Jul 1, 2015",30.06.2022,5,11,28,2.700,€50.00m
121,Ciro Immobile,30,"1,85 m",  Italy,Forward - Centre-Forward,right,SS Lazio,"Jul 27, 2016",30.06.2023,30,7,33,1.827,€50.00m
122,Kyle Walker,29,"1,83 m",  England,Defender - Right-Back,right,Manchester City,"Jul 14, 2017",30.06.2024,1,4,30,2.759,€50.00m
123,Antonio Rüdiger,27,"1,90 m","  Germany
  Sierra Leone",Defender - Centre-Back,right,Chelsea FC,"Jul 9, 2017",30.06.2022,2,-,18,3.028,€50.00m
124,Sergi Roberto,28,"1,78 m",  Spain,Defender - Right-Back,right,FC Barcelona,"Jul 1, 2013",30.06.2022,1,2,29,1.063,€45.00m
125,Alex Sandro,29,"1,81 m",  Brazil,Defender - Left-Back,left,"Aug 20, 2015",30.06.2023,"Dec 20, 2018",-,4,31,2.220,€45.00m
126,Jordi Alba,31,"1,70 m",  Spain,Defender - Left-Back,left,FC Barcelona,"Jul 1, 2012",30.06.2024,1,2,24,654,€45.00m
127,David de Gea,29,"1,89 m",  Spain,Goalkeeper,right,Manchester United,"Jul 1, 2011",30.06.2023,33,10,32,2.866,€45.00m
128,Ilkay Gündogan,29,"1,80 m",  Germany,Midfielder - Central Midfield,right,Manchester City,"Jul 1, 2016",30.06.2023,5,5,40,2.667,€45.00m
129,Georginio Wijnaldum,29,"1,75 m","  Netherlands
  Suriname",Midfielder - Central Midfield,right,Liverpool FC,"Jul 22, 2016",30.06.2021,5,-,38,1.892,€45.00m
130,David Neres,23,"1,76 m",  Brazil,Forward - Right Winger,left,Ajax Amsterdam,"Jan 31, 2017",30.06.2023,6,2,20,2.224,€45.00m
131,Mattéo Guendouzi,20,"1,84 m","  France
  Morocco",Midfielder - Central Midfield,right,Arsenal FC,"Jul 11, 2018",30.06.2022,-,3,32,2.036,€45.00m
132,Ibrahima Konaté,20,"1,93 m",  France,Defender - Centre-Back,right,RB Leipzig,"Jul 1, 2017",30.06.2023,-,-,8,3.526,€50.00m
133,Mason Mount,21,"1,78 m",  England,Midfielder - Attacking Midfield,right,Chelsea FC,"Jul 1, 2019",30.06.2024,6,5,41,1.340,€45.00m
134,Denis Zakaria,23,"1,90 m","  Switzerland
  DR Congo",Midfielder - Defensive Midfield,right,Borussia Mönchengladbach,"Jul 1, 2017",30.06.2022,2,2,31,1.735,€45.00m
135,Lucas Torreira,24,"1,66 m","  Uruguay
  Spain",Midfielder - Defensive Midfield,right,Arsenal FC,"Jul 10, 2018",30.06.2023,2,1,33,2.271,€45.00m
136,Wilfred Ndidi,23,"1,83 m",  Nigeria,Midfielder - Defensive Midfield,right,Leicester City,"Jan 3, 2017",30.06.2024,2,1,29,2.303,€45.00m
137,Nicolò Barella,23,"1,72 m",  Italy,Midfielder - Central Midfield,right,"Jul 12, 2019",30.06.2024,Cagliari Calcio,3,6,29,1.303,€45.00m
138,André Onana,24,"1,90 m",  Cameroon,Goalkeeper,right,Ajax Amsterdam,"Jan 14, 2015",30.06.2022,37,15,39,2.598,€45.00m
139,Raúl Jiménez,28,"1,88 m",  Mexico,Forward - Centre-Forward,right,Wolverhampton Wanderers,"Jul 1, 2019",30.06.2023,22,10,44,2.783,€42.00m
140,John Stones,25,"1,88 m",  England,Defender - Centre-Back,right,"Aug 9, 2016",30.06.2022,Nike,-,1,20,950,€42.00m
141,João Cancelo,25,"1,82 m",  Portugal,Defender - Right-Back,right,Manchester City,"Aug 7, 2019",30.06.2025,1,1,24,2.567,€42.00m
142,Sébastien Haller,25,"1,90 m","  France
  Cote d'Ivoire",Forward - Centre-Forward,right,West Ham United,"Jul 17, 2019",30.06.2024,7,2,29,3.021,€40.00m
143,Álvaro Morata,27,"1,87 m",  Spain,Forward - Centre-Forward,right,Atlético Madrid,"Jan 28, 2019",30.06.2020,12,3,32,1.012,€40.00m
144,Duván Zapata,29,"1,89 m",  Colombia,Forward - Centre-Forward,right,Atalanta BC,"Jan 17, 2020",30.06.2023,12,7,19,992,€40.00m
145,Mateo Kovacic,25,"1,77 m",  Croatia,Midfielder - Central Midfield,right,Chelsea FC,"Jul 1, 2019",30.06.2024,2,3,37,2.184,€40.00m
146,Eduardo Camavinga,17,"1,82 m","  France
  Angola",Midfielder - Defensive Midfield,left,"Jan 1, 2019",30.06.2022,"Aug 15, 2019",1,2,36,2.189,€40.00m
147,Naby Keïta,25,"1,72 m",  Guinea,Midfielder - Central Midfield,right,Liverpool FC,"Jul 1, 2018",30.06.2023,3,1,18,2.705,€40.00m
148,Joe Gomez,22,"1,88 m","  England
  The Gambia",Defender - Centre-Back,right,Liverpool FC,"Jul 1, 2015",30.06.2024,-,-,34,2.649,€40.00m
149,Aaron Wan-Bissaka,22,"1,83 m","  England
  DR Congo",Defender - Right-Back,right,Manchester United,"Jul 1, 2019",30.06.2024,-,2,34,3.042,€40.00m
150,Ansu Fati,17,"1,78 m","  Spain
  Guinea-Bissau",Forward - Left Winger,right,FC Barcelona,"Aug 1, 2019",30.06.2022,5,1,24,1.353,€40.00m
151,Éder Militão,22,"1,86 m",  Brazil,Defender - Centre-Back,right,Real Madrid,"Jul 1, 2019",30.06.2025,-,-,13,14.312,€40.00m
152,Maxi Gómez,23,"1,86 m",  Uruguay,Forward - Centre-Forward,right,Valencia CF,"Jul 14, 2019",30.06.2024,9,4,32,1.638,€40.00m
153,Theo Hernández,22,"1,84 m","  France
  Spain",Defender - Left-Back,left,AC Milan,"Jul 6, 2019",30.06.2024,6,2,25,1.880,€40.00m
154,Diego Carlos,27,"1,86 m",  Brazil,Defender - Centre-Back,right,Sevilla FC,"Jul 1, 2019",30.06.2024,2,-,31,2.248,€40.00m
155,Jonathan Ikoné,21,"1,75 m","  France
  DR Congo",Midfielder - Attacking Midfield,left,LOSC Lille,"Jul 2, 2018",30.06.2023,4,7,36,770,€40.00m
156,Caglar Söyüncü,23,"1,87 m",  Turkey,Defender - Centre-Back,right,Leicester City,"Aug 9, 2018",30.06.2023,1,1,35,3.324,€40.00m
157,Dani Ceballos,23,"1,79 m",  Spain,Midfielder - Central Midfield,right,Arsenal FC,"Jul 25, 2019",30.06.2020,1,2,24,2.440,€40.00m
158,Marco Asensio,24,"1,82 m","  Spain
  Netherlands",Forward - Left Winger,left,Real Madrid,"Jul 1, 2015",30.06.2023,38,43,228,2.103,€40.00m
159,Ferland Mendy,24,"1,80 m","  France
  Senegal",Defender - Left-Back,left,Real Madrid,"Jul 1, 2019",30.06.2025,-,2,22,2.970,€40.00m
160,Lorenzo Pellegrini,23,"1,86 m",  Italy,Midfielder - Central Midfield,both,AS Roma,"Jul 1, 2017",30.06.2022,3,11,24,1.942,€40.00m
161,Ángel Correa,25,"1,71 m","  Argentina
  Spain",Forward - Right Winger,right,Atlético Madrid,"Jan 1, 2015",30.06.2024,7,8,33,1.303,€45.00m
162,Luka Jovic,22,"1,82 m",  Serbia,Forward - Centre-Forward,both,Real Madrid,"Jul 2, 2019",30.06.2025,2,2,24,1.234,€40.00m
163,Alex Telles,27,"1,81 m","  Brazil
  Italy",Defender - Left-Back,left,FC Porto,"Jul 12, 2016",30.06.2021,10,9,40,2.429,€40.00m
164,Harry Winks,24,"1,78 m",  England,Midfielder - Central Midfield,right,Tottenham Hotspur,"Jul 1, 2016",30.06.2024,-,-,33,20,€40.00m
165,Nélson Semedo,26,"1,77 m",  Portugal,Defender - Right-Back,right,FC Barcelona,"Jul 14, 2017",30.06.2022,-,5,29,2.860,€40.00m
166,Ricardo Pereira,26,"1,75 m","  Portugal
  Cape Verde",Defender - Right-Back,right,Leicester City,"Jul 1, 2018",30.06.2023,4,3,33,2.670,€40.00m
